Date,Time,No. people,No. penguins ,Green shirt?
07/12/2023,13:00,19,22,no
07/12/2023,13:05,15,27,yes
07/12/2023,13:10,9,25,no
07/12/2023,13:15,31,29,yes
07/12/2023,13:20,28,28,no
07/12/2023,13:25,3,23,no
07/12/2023,13:30,11,34,yes
07/12/2023,13:35,14,38,yes
07/12/2023,13:40,16,29,yes
07/12/2023,13:45,26,33,yes
07/12/2023,13:50,14,36,yes
07/12/2023,13:55,17,38,yes
07/12/2023,14:00,11,17,no
07/12/2023,14:05,6,18,no
07/12/2023,14:10,15,24,no
07/12/2023,14:15,6,18,no
07/12/2023,14:20,2,19,yes
07/12/2023,14:25,3,12,no
07/12/2023,14:30,6,11,no
07/12/2023,14:35,6,6,no
07/12/2023,14:40,8,7,no
07/12/2023,14:45,8,6,no
07/12/2023,14:50,9,7,no
07/12/2023,14:55,5,5,no
07/12/2023,15:00,2,5,no
07/12/2023,15:05,1,2,no
07/12/2023,15:10,5,4,no
07/12/2023,15:15,3,4,no
07/12/2023,15:20,4,13,yes
07/12/2023,15:25,7,2,no
07/12/2023,15:30,4,2,no
